2025-11-28 05:02:40,380 [daml.index.db.threadpool.connection.indexer-5] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T12:00:00Z)
2025-11-28 05:42:16,284 [canton-env-ec-106] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T13:42:16.284353Z
2025-11-28 05:42:16,284 [canton-env-ec-111] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T13:42:16.284360Z
2025-11-28 05:42:16,284 [canton-env-ec-51] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T13:42:16.284492Z
2025-11-28 05:42:36,267 [canton-env-ec-100] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 05:42:36,268 [canton-env-ec-54] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 05:42:36,268 [canton-env-ec-53] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 05:42:36,268 [canton-env-ec-52] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 05:42:36,269 [canton-env-ec-53] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 05:42:36,269 [canton-env-ec-54] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 05:42:36,334 [canton-env-ec-100] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::122085d60efc... subscribes from counter=74
2025-11-28 05:42:36,341 [canton-env-ec-47] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::1220a2ad1939... subscribes from counter=158
2025-11-28 05:42:36,343 [canton-env-ec-51] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::122085d60efc... subscribes from counter=137
2025-11-28 06:02:40,379 [daml.index.db.threadpool.connection.indexer-15] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T13:00:00Z)
2025-11-28 06:02:40,383 [daml.index.db.threadpool.connection.indexer-15] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T13:00:00Z)
2025-11-28 06:41:56,327 [canton-env-ec-107] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T14:41:56.326623Z
2025-11-28 06:41:56,327 [canton-env-ec-106] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T14:41:56.326515Z
2025-11-28 06:41:56,327 [canton-env-ec-103] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T14:41:56.326520Z
2025-11-28 06:42:16,298 [canton-env-ec-51] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 06:42:16,300 [canton-env-ec-106] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 06:42:16,300 [canton-env-ec-50] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
